KldB_Code_5,Berufsbenennung
73293,Abschnittsleiter/in (Sozialversicherung)
41194,Abteilungsleiter/in - Statistik
41494,Abteilungsleiter/in (Metallographie)
34313,Abwasserberater/in
34313,Abwassertechniker/in
92133,Account-Manager/in
81382,Ambulante/r Krankenschwester/-pfleger
81382,Ambulanzschwester/-pfleger
34212,"Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik"
43152,Assistent/in - Informatik (Medieninformatik)
72243,Assistent/in - Wirtschaftsprüfung
28294,Atelierleiter/in - Bekleidung
28394,Atelierleiter/in - Rauchwaren
28194,Atelierleiter/in - Stickerei
28194,Atelierleiter/in - Weberei
81382,Aufnahmeschwester/-pfleger
33122,Ausbaufacharbeiter/in - Estricharbeiten
71452,Auskunfterteiler/in
61214,Außenwirtschaftsmanager/in
41203,Bachelor of Science - Biowissenschaften
41303,Bachelor of Science - Chemie
41383,Bachelor of Science - Chemie (anorganische Chemie)
41103,Bachelor of Science - Mathematik
41283,Bachelor of Science - Molekularbiologie
82283,Bachelor of Science - Ökotrophologie
41403,Bachelor of Science - Physik
81382,Badeschwester/-pfleger
31154,Baudenkmalpfleger/in (Architekt/in)
31133,Bauingenieur/in (FS) - Brückenbau
32233,Bauingenieur/in (FS) - Eisenbahnbau
32223,Bauingenieur/in (FS) - Straßenbau
25223,Baumaschinentechniker/in
73323,"Beamt(er/in) - Bibliotheks-, Dokumentationsdienst (geh.Diens"
73323,Beamt(er/in) - Bibliotheksdienst (geh. Dienst)
51663,Beamt(er/in) - Postdienst (geh. techn. Dienst)
51663,Beamt(er/in) - Postdienst (höh. techn. Dienst)
34212,Bearbeiter/in für Gas- und Wasserinst. (§66 BBiG/§42m HWO)
28343,Bekleidungsgestalter/in - Kürschnerei
28343,Bekleidungsgestalter/in - Pelznähen
21194,Bergwerksdirektor/in
34212,Berufskollegiat/in - Sanitär- u. Heizungstechnik
34323,Berufsspezialist/in - Verteilnetztechnik
84503,Berufstrainer/in - Sport
82494,Bestattungsunternehmer/in
21194,Betriebsdirektor/in (Bergbau)
21194,Betriebsführer/in (Bergbau)
21194,Betriebsleiter/in - Bergbau
12294,Betriebsleiter/in - Floristik
12194,Betriebsleiter/in - Gartenbau
63194,Betriebsleiter/in - Gesundheitswesen/Freizeit/Fitness
29194,Betriebsleiter/in - Getränketechnik
53244,"Betriebsleiter/in - Justiz-, Strafvollzugsdienst"
11194,Betriebsleiter/in - landwirtschaftlich
11694,Betriebsleiter/in - Weinbau
11194,Betriebsleiter/in (ökolog. Betrieb)
63213,Betriebsökonom/in - Hotel- u. Gaststättenwesen
73224,Betriebswirt/in - Krankenhaus
73224,Betriebswirt/in - Krankenhausmanagement
51613,Betriebswirt/in (Ausbildung) - Verkehr/Logistik
63313,Betriebswirt/in (Fachschule) - Cat./Verpf./B. Prof. Wirtsch.
63213,Betriebswirt/in (Fachschule) - Hotel/Gast./B. Prof. Wirtsch.
51613,Betriebswirt/in (Fachschule) - Verkehr
92114,Betriebswirt/in (Hochschule) - Dienstleistungsmanagement
73224,Betriebswirt/in (Hochschule) - Gesundheitswesen
61204,Betriebswirt/in (Hochschule) - Handel
92114,Betriebswirt/in (Hochschule) - Marketing
72304,Betriebswirt/in (Hochschule) - Steuern und Prüfungswesen
51614,Betriebswirt/in (Hochschule) - Verkehr
92114,"Betriebswirt/in (Hochschule) - Werbung, Marketingkommunik."
63213,"Betriebswirt/in (staatl. gepr.) - Hotel-, Gaststättengewerbe"
73323,Bibliothekar/in - Staatliche Allgemeinbibliotheken
73323,Bibliothekar/in - Wissenschaftliche Bibliotheken
73323,Bibliotheksbeamt(er/in) (geh. Dienst)
41283,Biochemietechniker/in
41283,Biotechniker/in (Genetik)
24382,Blechemaillierer/in
33122,"Bodenleger/in (Estrich, Terrazzo)"
21193,Bohrmeister/in
21193,Bohrschichtführer/in
25242,Bootsbauer/in - Technik
25242,Bootsmechaniker/in
41244,Botaniker/in
92114,Brand-Manager/in
29113,Brautechniker/in
29134,Brennereiingenieur/in
29133,Brennereitechniker/in
34212,"Brennerspezialist/in (Gas-, Ölfeuerungsanlagen)"
31133,Brückenbaukonstrukteur/in
62514,Buchhändler/in (Hochschule)
73224,Caritaswissenschaftler/in (Uni)
92114,Category-Manager/in
25294,Chefflugingenieur/in
92133,CRM-Manager/in
92133,Customer Relationship Manager/in
81784,Diabetes- und Gesundheitswissenschaftler/in
92114,Dienstleistungsmanagementbetriebswirt/in (Hochschule)
11214,Dipl.-Agraring./Dipl.Landwirt/in (Uni) - Tierproduktion
63213,Dipl.-Betriebswirt/in (BA) - Hotelmanagement
92114,Dipl.-Betriebswirt/in (FH) - Marketing
92114,Dipl.-Betriebswirt/in (FH) - Marketing und Vertrieb
72304,Dipl.-Betriebswirt/in (FH) - Steuern und Prüfungswesen
29104,Dipl.-Braumeister/in
62514,Dipl.-Buchhandelswirt/in (FH)
62514,Dipl.-Buchhändler/in (Uni)
11494,Dipl.-Fischereiing./in (Uni)-Fischproduktion
